BNA ID,area name,all count,count,z value,rate
9,A6m_l,758,755,7.211026536732548,0.996042216358839
10,A6m_r,744,739,6.8930940882879925,0.9932795698924731
53,A4hf_l,897,897,7.7889078774866505,1.0
54,A4hf_r,522,520,7.5575910470898355,0.9961685823754789
55,A6cdl_l,709,705,7.388519759248083,0.9943582510578279
56,A6cdl_r,886,873,7.035481643415248,0.9853273137697517
57,A4ul_l,624,624,8.145955721778563,1.0
58,A4ul_r,626,626,7.6158849526906085,1.0
59,A4t_l,283,281,7.673071508484879,0.9929328621908127
60,A4t_r,431,423,7.003501783863055,0.9814385150812065
61,A4tl_l,434,434,6.956991359503444,1.0
62,A4tl_r,424,413,6.869742927231073,0.9740566037735849
64,A6cvl_r,675,648,6.688025629073995,0.96
65,A1_2_3ll_l,344,330,7.1546436902025965,0.9593023255813954
67,A4ll_l,492,492,7.572523612444437,1.0
68,A4ll_r,601,600,7.0054811070501195,0.9983361064891847
71,A41_42_l,505,503,6.788253211245291,0.996039603960396
72,A41_42_r,371,371,6.917141125342169,1.0
73,TE1.0_TE1.2_l,801,801,6.83642025445081,1.0
74,TE1.0_TE1.2_r,729,714,6.613245371752959,0.9794238683127572
76,A22c_r,555,520,6.539695850049959,0.9369369369369369
79,A22r_l,644,614,6.47858396696003,0.953416149068323
80,A22r_r,367,360,6.285884125661772,0.9809264305177112
105,A37mv_l,899,888,6.7724021837336865,0.9877641824249166
106,A37mv_r,801,789,6.827547532725513,0.9850187265917603
108,A37lv_r,890,806,6.423637014336471,0.9056179775280899
123,cpSTS_l,353,344,6.236238377634569,0.9745042492917847
124,cpSTS_r,290,286,6.214434166938043,0.9862068965517241
125,A7r_l,386,353,6.352389607941528,0.9145077720207254
130,A5l_r,375,359,6.924485363939309,0.9573333333333334
131,A7pc_l,502,502,6.961987125722925,1.0
132,A7pc_r,452,442,6.460332661397844,0.9778761061946902
149,A5m_l,579,528,6.456887294276802,0.9119170984455959
155,A1_2_3ulhf_l,928,928,8.363656069866279,1.0
156,A1_2_3ulhf_r,930,914,7.794380364694987,0.9827956989247312
157,A1_2_3tonLa_l,649,649,7.428406062812864,1.0
158,A1_2_3tonLa_r,612,608,7.219605720038806,0.9934640522875817
159,A2_l,723,723,8.128713051690925,1.0
160,A2_r,750,750,7.51429846355515,1.0
161,A1_2_3tru_l,672,672,7.476873713896804,1.0
162,A1_2_3tru_r,526,525,7.14582558269053,0.9980988593155894
163,G_l,328,328,6.81526725856741,1.0
164,G_r,276,276,6.950244490297513,1.0
169,vId_vIg_l,261,255,6.2665563741454235,0.9770114942528736
170,vId_vIg_r,287,286,6.090952714446898,0.9965156794425087
171,dIg_l,288,288,6.79099179301039,1.0
172,dIg_r,273,273,7.149659893647932,1.0
189,cLinG_l,492,480,6.709730850222831,0.975609756097561
191,rCunG_l,785,783,6.43564033525933,0.9974522292993631
192,rCunG_r,837,785,6.22760923435162,0.937873357228196
195,rLinG_l,760,746,6.9247832320703555,0.9815789473684211
196,rLinG_r,861,833,6.6101251733110855,0.967479674796748
197,vmPOS_l,985,936,6.807614094331895,0.950253807106599
198,vmPOS_r,1033,981,6.605370890363368,0.9496611810261375
199,mOccG_l,837,834,6.675065142037627,0.996415770609319
200,mOccG_r,858,797,6.507707243744468,0.9289044289044289
201,V5_MT_plus_l,751,751,7.304592582321815,1.0
202,V5_MT_plus_r,807,807,6.9766534195586685,1.0
207,msOccG_l,625,624,6.774388230320285,0.9984
208,msOccG_r,645,645,6.580215266685308,1.0
209,lsOccG_l,579,534,6.562292105845744,0.9222797927461139
210,lsOccG_r,770,698,6.539279221486341,0.9064935064935065
